Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched
0.09478599,BCH,10/11/2017,10/11/2017,343.72,0,343.72,ILS,Y
0.01978829,BCH,15/11/2017,15/11/2017,92.56,0,92.56,ILS,Y
0.00408624,BTC,01/10/2017,16/11/2017,113.38,61.89,51.49,ILS,
0.07558597,BTC,15/10/2017,16/11/2017,2097.31,1545.9,551.41,ILS,
0.00999906,BTC,15/10/2017,16/11/2017,277.43,204.5,72.93,ILS,
0.03699931,BTC,15/10/2017,16/11/2017,1028.66,756.72,271.94,ILS,
0.021999,BTC,15/10/2017,16/11/2017,610.68,449.93,160.75,ILS,
0.02470613,BTC,15/10/2017,16/11/2017,687.65,505.3,182.35,ILS,
0.0399976,BTC,15/10/2017,16/11/2017,1113.25,818.04,295.21,ILS,
0.0199988,BTC,15/10/2017,16/11/2017,555.5,409.02,146.48,ILS,
0.01518587,BTC,15/10/2017,17/11/2017,428.92,310.59,118.33,ILS,
0.17678038,BTC,05/11/2017,17/11/2017,4993.06,4777.51,215.55,ILS,
0.10431667,BCH,16/11/2017,17/11/2017,439.9,387.49,52.41,ILS,
0.68207587,ETH,16/11/2017,17/11/2017,792.83,808.16,-15.33,ILS,
0.00819563,BTC,05/11/2017,25/11/2017,244.56,221.49,23.07,ILS,
0.0144695,BTC,10/11/2017,25/11/2017,431.77,343,88.77,ILS,
0.02985,BTC,14/11/2017,25/11/2017,890.72,769.92,120.8,ILS,
0.02407455,BTC,14/11/2017,25/11/2017,718.38,621,97.38,ILS,
0.16616561,BTC,16/11/2017,25/11/2017,4958.38,4658.05,300.33,ILS,
0.00000756,BCH,16/11/2017,28/11/2017,0.04,0.03,0.01,ILS,
0.56795636,BCH,25/11/2017,28/11/2017,2985.22,3228.34,-243.12,ILS,
0.70672787,BCH,25/11/2017,28/11/2017,3714.61,4009.09,-294.48,ILS,
0.05051065,BCH,28/11/2017,28/11/2017,265.49,0,265.49,ILS,Y
0.00002413,ETH,16/11/2017,01/12/2017,0.04,0.03,0.01,ILS,
-0.00945471,LTC,28/11/2017,01/12/2017,-2.94,-3,0.06,ILS,
0.99997587,ETH,28/11/2017,01/12/2017,1621,1620.6,0.4,ILS,
0.43700099,ETC,28/11/2017,01/12/2017,45.33,46.94,-1.61,ILS,
4.56299901,ETC,28/11/2017,01/12/2017,472.98,490.1,-17.12,ILS,
745.7548039,DAT,28/11/2017,01/12/2017,273.79,260.12,13.67,ILS,
254.2451961,DAT,28/11/2017,01/12/2017,93.79,88.68,5.11,ILS,
0.2,XMR,28/11/2017,01/12/2017,130,128.15,1.85,ILS,
1.8,XMR,28/11/2017,01/12/2017,1170.01,1153.54,16.47,ILS,
100,XRP,28/11/2017,01/12/2017,86.14,93.1,-6.96,ILS,
898.2,XRP,28/11/2017,01/12/2017,772.18,832.45,-60.27,ILS,
1.43540364,LTC,28/11/2017,05/12/2017,507.76,456.07,51.69,ILS,
3.07405107,LTC,28/11/2017,05/12/2017,1087.42,976.91,110.51,ILS,
0.5,LTC,28/11/2017,05/12/2017,176.87,158.89,17.98,ILS,
0.57248973,LTC,28/11/2017,05/12/2017,202.51,184.23,18.28,ILS,
6.9898987,LTC,01/12/2017,05/12/2017,2472.61,2391.58,81.03,ILS,
-0.03051529,IOT,28/11/2017,05/12/2017,-0.46,-0.13,-0.33,ILS,
0.0316707,BCH,05/12/2017,05/12/2017,168.03,0,168.03,ILS,Y
10.19019208,IOT,28/11/2017,06/12/2017,165.79,44.08,121.71,ILS,
89.84032321,IOT,28/11/2017,06/12/2017,1461.51,388.61,1072.9,ILS,
35.07,IOT,01/12/2017,06/12/2017,570.52,178.13,392.39,ILS,
150.3,IOT,01/12/2017,06/12/2017,2445.07,762.98,1682.09,ILS,
50.1,IOT,01/12/2017,06/12/2017,815.02,254.07,560.95,ILS,
125.25,IOT,01/12/2017,06/12/2017,2037.55,635.39,1402.16,ILS,
84.94874599,IOT,01/12/2017,06/12/2017,1381.94,431.53,950.41,ILS,
395.5034344,IOT,05/12/2017,06/12/2017,6434.01,4447.16,1986.85,ILS,
13.68516255,IOT,05/12/2017,06/12/2017,222.63,150.26,72.37,ILS,
1.57683022,IOT,05/12/2017,06/12/2017,25.78,17.31,8.47,ILS,
243.4661012,IOT,06/12/2017,06/12/2017,3972.25,3972.18,0.07,ILS,
159.6097125,IOT,06/12/2017,06/12/2017,2609.31,2603.05,6.26,ILS,
518.5613975,IOT,06/12/2017,06/12/2017,8477.49,8455.33,22.16,ILS,
18,IOT,06/12/2017,06/12/2017,294.27,293.55,0.72,ILS,
1.57683022,IOT,06/12/2017,06/12/2017,23.67,25.73,-2.06,ILS,
124.3415637,IOT,06/12/2017,06/12/2017,1866.69,2022.36,-155.67,ILS,
162.07994,IOT,06/12/2017,06/12/2017,2428.77,2636.2,-207.43,ILS,
224.1530014,IOT,06/12/2017,06/12/2017,3358.93,3646.53,-287.6,ILS,
200.4,IOT,06/12/2017,06/12/2017,3005.8,3259.47,-253.67,ILS,
23.35642661,IOT,06/12/2017,06/12/2017,350.39,379.89,-29.5,ILS,
160.6829017,IOT,06/12/2017,06/12/2017,2411.59,2613.48,-201.89,ILS,
26.27992989,IOT,06/12/2017,06/12/2017,394.49,427.44,-32.95,ILS,
21.1106551,IOT,06/12/2017,06/12/2017,316.9,343.36,-26.46,ILS,
1.47909732,IOT,06/12/2017,06/12/2017,20.7,24.06,-3.36,ILS,
695.1394032,IOT,06/12/2017,06/12/2017,9727.71,9948.46,-220.75,ILS,
198.6472038,IOT,06/12/2017,06/12/2017,2779.85,2842.24,-62.39,ILS,
87.36256256,IOT,06/12/2017,06/12/2017,1222.54,1249.46,-26.92,ILS,
0.48320096,IOT,06/12/2017,06/12/2017,6.76,0,6.76,ILS,Y
0.02580108,BTC,16/11/2017,08/12/2017,1337.91,723.27,614.64,ILS,
0.21338947,BTC,17/11/2017,08/12/2017,11065.27,5825.03,5240.24,ILS,
0.02936659,BTC,17/11/2017,08/12/2017,1522.8,802.88,719.92,ILS,
0.00393396,BTC,01/12/2017,08/12/2017,203.99,137.1,66.89,ILS,
0.02974378,BTC,06/12/2017,08/12/2017,1542.36,1346.09,196.27,ILS,
200,AVT,08/12/2017,08/12/2017,2321.78,2589.08,-267.3,ILS,
107,EDO,08/12/2017,08/12/2017,901.61,917.05,-15.44,ILS,
9.2336,EDO,08/12/2017,08/12/2017,77.81,79.14,-1.33,ILS,
11.022,EDO,08/12/2017,08/12/2017,93.06,94.24,-1.18,ILS,
15.0224,EDO,08/12/2017,08/12/2017,126.84,128.18,-1.34,ILS,
11.022,EDO,08/12/2017,08/12/2017,93.06,94.43,-1.37,ILS,
46.3,EDO,08/12/2017,08/12/2017,390.18,395.06,-4.88,ILS,
103.7183987,EOS,08/12/2017,08/12/2017,1495.9,1567.04,-71.14,ILS,
96.28160126,EOS,08/12/2017,08/12/2017,1388.65,1454.95,-66.3,ILS,
5.57180963,SAN,08/12/2017,09/12/2017,55,59.68,-4.68,ILS,
194.0281904,SAN,08/12/2017,09/12/2017,1911.33,2080.04,-168.71,ILS,
200,IOT,08/12/2017,10/12/2017,2608.66,2879.4,-270.74,ILS,
63.7124987,NEO,17/12/2017,17/12/2017,14648.19,14585.1,63.09,ILS,
0.8,EDO,08/12/2017,17/12/2017,8.85,6.86,1.99,ILS,
1038.408694,EDO,17/12/2017,17/12/2017,11481.48,11304.88,176.6,ILS,
304.2,EDO,17/12/2017,17/12/2017,3363.48,3273.52,89.96,ILS,
0.25536072,NEO,17/12/2017,18/12/2017,66.05,58.46,7.59,ILS,
19.99998,NEO,18/12/2017,18/12/2017,5173.08,5273.17,-100.09,ILS,
15,NEO,18/12/2017,18/12/2017,3879.82,3950.92,-71.1,ILS,
2.40653736,NEO,18/12/2017,18/12/2017,622.46,634.51,-12.05,ILS,
18.66694836,NEO,18/12/2017,18/12/2017,4828.29,4921.71,-93.42,ILS,
1.5,XMR,19/12/2017,20/12/2017,2153.84,1911.19,242.65,ILS,
0.5,XMR,19/12/2017,20/12/2017,717.95,637.06,80.89,ILS,
1,ZEC,19/12/2017,20/12/2017,2136.33,1986.62,149.71,ILS,
30,QSH,20/12/2017,20/12/2017,103.01,102.88,0.13,ILS,
30,QSH,20/12/2017,20/12/2017,103.01,102.88,0.13,ILS,
0.0000017,QSH,20/12/2017,20/12/2017,0,0,0,ILS,
30,QSH,20/12/2017,20/12/2017,102.89,102.88,0.01,ILS,
3.9999983,QSH,20/12/2017,20/12/2017,13.75,13.72,0.03,ILS,
19.96,QSH,20/12/2017,20/12/2017,68.45,68.46,-0.01,ILS,
0.06778575,BCH,20/12/2017,20/12/2017,878.37,0,878.37,ILS,Y
200,IOT,20/12/2017,20/12/2017,3362.3,3358.84,3.46,ILS,
3.6,XRP,28/11/2017,21/12/2017,10.7,3.34,7.36,ILS,
-0.00054848,LTC,01/12/2017,21/12/2017,-0.59,-0.19,-0.4,ILS,
196.4,XRP,19/12/2017,21/12/2017,583.29,531.12,52.17,ILS,
0.22544323,NEO,18/12/2017,21/12/2017,58.06,59.44,-1.38,ILS,
1.64898697,NEO,19/12/2017,21/12/2017,423.8,421.42,2.38,ILS,
0.00002413,ETH,28/11/2017,28/12/2017,0.06,0.04,0.02,ILS,
-0.0056594,LTC,01/12/2017,28/12/2017,-4.86,-1.94,-2.92,ILS,
0.99705487,ETH,19/12/2017,28/12/2017,2440.54,2874.22,-433.68,ILS,
-0.0057838,LTC,01/12/2017,28/12/2017,-4.97,-1.98,-2.99,ILS,
0.00294513,ETH,19/12/2017,28/12/2017,7.24,8.49,-1.25,ILS,
0.99997587,ETH,19/12/2017,28/12/2017,2453.34,2882.64,-429.3,ILS,
