Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis, Gain ,Currency,Unmatched
96.30231,ETH,01/11/2015,01/01/2018,280005.96,865.49,"¤ 279,140",ILS,
0.02,BTC,23/10/2011,30/01/2018,700,0.08,¤ 700,ILS,
0.0348,BTC,23/10/2011,19/02/2018,1200,0.14,"¤ 1,200",ILS,
6.294582,MAID,11/04/2017,23/02/2018,9.31,0.34,¤ 9,ILS,
985.0099,MAID,11/04/2017,23/02/2018,1456.38,53.09,"¤ 1,403",ILS,
117.5641,MAID,11/04/2017,23/02/2018,173.82,6.34,¤ 167,ILS,
151.0562,MAID,11/04/2017,23/02/2018,223.34,8.14,¤ 215,ILS,
151.0971,MAID,11/04/2017,23/02/2018,223.4,8.14,¤ 215,ILS,
18.5872,MAID,11/04/2017,23/02/2018,27.48,1,¤ 26,ILS,
603.44069,MAID,11/04/2017,23/02/2018,827.13,32.53,¤ 795,ILS,
188.7965,MAID,11/04/2017,23/02/2018,278.49,10.18,¤ 268,ILS,
50.15933,MAID,11/04/2017,23/02/2018,73.99,2.7,¤ 71,ILS,
2312.9533,MAID,11/04/2017,23/02/2018,3403.71,124.67,"¤ 3,279",ILS,
6000,MAID,11/04/2017,23/02/2018,8829.52,323.4,"¤ 8,506",ILS,
279.1083,MAID,11/04/2017,23/02/2018,409.76,15.04,¤ 395,ILS,
16555.647,MAID,11/04/2017,23/02/2018,24305.47,892.35,"¤ 23,413",ILS,
16561.6703,MAID,11/04/2017,23/02/2018,24256.7,892.67,"¤ 23,364",ILS,
150,MAID,11/04/2017,23/02/2018,219.17,8.09,¤ 211,ILS,
2219.53924,MAID,11/04/2017,23/02/2018,3243.08,119.63,"¤ 3,123",ILS,
113062.9334,MAID,11/04/2017,23/02/2018,164808.54,6094.09,"¤ 158,714",ILS,
313.2251,MAID,11/04/2017,23/02/2018,456.58,16.88,¤ 440,ILS,
200.3005,MAID,11/04/2017,23/02/2018,291.28,10.8,¤ 280,ILS,
2364.625,MAID,11/04/2017,23/02/2018,3438.62,127.45,"¤ 3,311",ILS,
3.634838,MAID,11/04/2017,23/02/2018,5.29,0.2,¤ 5,ILS,
7164.232,MAID,11/04/2017,23/02/2018,10418.17,386.15,"¤ 10,032",ILS,
298.8383,MAID,11/04/2017,23/02/2018,434.57,16.11,¤ 418,ILS,
21.482714,MAID,11/04/2017,23/02/2018,31.24,1.16,¤ 30,ILS,
2.895514,MAID,11/04/2017,23/02/2018,4.2,0.16,¤ 4,ILS,
18.5872,MAID,11/04/2017,23/02/2018,26.96,1,¤ 26,ILS,
406.9344,MAID,11/04/2017,23/02/2018,590.35,21.93,¤ 568,ILS,
118.6803,MAID,11/04/2017,23/02/2018,172.17,6.4,¤ 166,ILS,
120.5186,MAID,11/04/2017,23/02/2018,174.84,6.5,¤ 168,ILS,
2406.580434,MAID,11/04/2017,23/02/2018,3482.89,129.71,"¤ 3,353",ILS,
273.2012,MAID,11/04/2017,23/02/2018,395.39,14.73,¤ 381,ILS,
6,MAID,11/04/2017,23/02/2018,8.66,0.32,¤ 8,ILS,
2.655081,MAID,11/04/2017,23/02/2018,3.82,0.14,¤ 4,ILS,
12.82944,MAID,11/04/2017,23/02/2018,18.48,0.69,¤ 18,ILS,
343.8198,MAID,11/04/2017,23/02/2018,495.2,18.53,¤ 477,ILS,
2902.224749,MAID,11/04/2017,23/02/2018,4180.01,156.43,"¤ 4,024",ILS,
118.6803,MAID,11/04/2017,23/02/2018,170.52,6.4,¤ 164,ILS,
95.704879,MAID,11/04/2017,23/02/2018,137.51,5.16,¤ 132,ILS,
1058.449,MAID,11/04/2017,23/02/2018,1517.09,57.05,"¤ 1,460",ILS,
9949.185,MAID,11/04/2017,23/02/2018,14260.35,536.26,"¤ 13,724",ILS,
64428.25,MAID,11/04/2017,23/02/2018,92122.05,3472.68,"¤ 88,649",ILS,
