Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched,AcquiredAccount,AcquiredId,SoldAccount,SoldId
0.58988,ETH,26/01/2018,26/01/2018,2082.44,0,2082.44,ILS,Y,,,Binance,2039712-6399829
0.2375933,ETH,26/01/2018,26/01/2018,838.77,0,838.77,ILS,Y,,,Binance,2285906-6528308
0.16866,ETH,26/01/2018,26/01/2018,595.42,0,595.42,ILS,Y,,,Binance,2561025-8912066
0.674826,ETH,26/01/2018,26/01/2018,2382.33,0,2382.33,ILS,Y,,,Binance,2030551-9403327
0.110337,ETH,02/02/2018,02/02/2018,344.53,0,344.53,ILS,Y,,,Binance,2477659-7318377
0.42829513,ETH,02/02/2018,02/02/2018,1337.36,0,1337.36,ILS,Y,,,Binance,2637894-9300666
0.36954,ETH,02/02/2018,02/02/2018,1153.89,0,1153.89,ILS,Y,,,Binance,2481827-7329469
0.3952266,ETH,02/02/2018,02/02/2018,1234.1,0,1234.1,ILS,Y,,,Binance,2150180-10045240
0.01958385,ETH,02/02/2018,02/02/2018,61.15,0,61.15,ILS,Y,,,Binance,2150184-10045240
0.2157792,ETH,02/02/2018,02/02/2018,673.77,0,673.77,ILS,Y,,,Binance,16383-56867
0.03026595,ETH,02/02/2018,02/02/2018,94.51,0,94.51,ILS,Y,,,Binance,2150383-10045240
26,ADA,26/01/2018,18/02/2018,34.32,54.57,-20.25,ILS,,Binance,2285906-6528308,Binance,3079471-9448883
315.684,ADA,26/01/2018,18/02/2018,416.72,662.65,-245.93,ILS,,Binance,2285908-6528308,Binance,3079472-9448883
33.966,ADA,26/01/2018,18/02/2018,44.84,71.29,-26.45,ILS,,Binance,2285907-6528308,Binance,3079472-9448883
23.95,ADA,26/01/2018,18/02/2018,31.62,50.26,-18.64,ILS,,Binance,2285906-6528308,Binance,3079472-9448883
299.7,ADA,02/02/2018,18/02/2018,395.62,344.53,51.09,ILS,,Binance,2477659-7318377,Binance,3079472-9448883
